model_response,skill,ground_truth,reasoning_ground_truth,image
A,['inductive'],A,"Square increases in size with each turn (i.e.: small, medium, large). Smallest square informs the decrease of one corner circle in the following frame, in a clockwise direction. Squares alternate from shaded to unshaded with each turn.",./images/v1_17.png
The correct answer is: C,['inductive'],C,"Square moves from the top left corner, to the middle, then to the right corner with each turn. Unshaded square appears in every third frame with each turn. Triangle appears with every alternate turn.",./images/v1_18.png
C,['inductive'],C,"The number of triangles is increasing by 2 as you move along the sequence. I you continue to add 2 until you reach the 6th shape you reach 14, so the answer is C).",./images/v1_19.png
The correct answer is: 3,['deductive'],3,"Using deductive reasoning, the only logical answer is 3. To get to this answer, you need to simplify the given facts. All famous sports players are footballers, and all footballers are fit and healthy. We can’t deduce that all footballers are famous sports people, as we haven’t got that information. We can’t deduce that all famous people are fit and healthy, because the fact is about famous sports people. This is the logical answer. This information is not given; all footballers are fit and healthy but we can’t logically link that all fit and healthy people are footballers. This is obviously incorrect, as gender is not mentioned at all in the question.",./images/v1_20.png
A,['inductive'],F,"In the question the key rule is that the number of ‘star’ shapes in the central column must always equal the number of double circle shapes. If there are no star shapes there should be no circle shapes. If there are three star shapes, there should be three circle shapes. Option F is the only one that abides by this rule.",./images/v1_21.png
D,['inductive'],D,Shapes are not in a set position within this sequence. It is merely the presence of the shapes that is important. 1. There are always two squares in the frame. 2. There are always two circles in the frame. 3. There is always one triangle in the frame. So the answer is D).,./images/v1_22.png
A,['deductive'],C,The vast majority of swallows are blue so the answer must be C: there is a blue swallow.,./images/v1_23.png
D,['deductive'],D,The correct answer is answer D: All dogs can swim.,./images/v1_24.png
C,['deductive'],C,The correct answer is answer C: Annie is the youngest sister.,./images/v1_25.png
B,['inductive'],B,Rule 1: The shape alternates between two versions of a crosshair. Rule 2: Each time the chape rotates 15 degrees anticlockwise.,./images/v1_26.png
The correct answer is: D,['inductive'],D,"Rule 1: The large and small signs swap vertical positions each time. Rule 2: The shading changes from black to grey to white, then repeats.",./images/v1_27.png
The correct answer is: E,['inductive'],E,"Rule 1: The size of the bat alternates betwen small and large each time. Rule 2: The number of black dots follows the sequence: 1, 2, 3, 4, repeat.",./images/v1_28.png
A,['inductive'],A,Rule 1: Each diamond takes it in turns to rotate 45 degrees clockwise each time.,./images/v1_29.png
The correct answer is: C,['inductive'],C,Rule 1: The semi-circle rotates 90° anticlockwise each time. Rule 2: The small dots alternate between being near and apart from the semi-circle.,./images/v1_30.png
The correct answer is: E,['inductive'],E,Rule 1: The bold line alternates between two edge and one each time. Rule 2: The number of sides to the polygon decreases by one each time.,./images/v1_31.png
The correct answer is: E,['inductive'],E,Rule 1: The small square alternates from bottom-right and top-left. Rule 2: The line within the small square rotates 45 degrees anticlockwise each time. Rule 3: The grey rectangle increases in height each time and moves one place to the right each time.,./images/v1_32.png
The correct answer is: E,['inductive'],E,"Rule 1: The shading moves down one circle each time, then repeats. Rule 2: The large circle moved up one circle each time, then repeats.",./images/v1_33.png
The correct answer is: C,['inductive'],C,"Rule 1: The rectangle alternates between tipped-left, horizontal, tipped-right, then repeat. Rule 2: Inside the rectangle there is always one unshaded circle and the other shape alternates from shaded triangle, to shaded square, to shaded circle.",./images/v1_34.png
B,['inductive'],B,Rule 1: The shading alternates from dark background to white background. Rule 2: The circle segment reduces by 45 degrees each time.,./images/v1_35.png
The correct answer is: A,['inductive'],A,"Rule 1: The square shape moves diagonally north-east each time, starting again when it gets to the top-right corner. Rule 2: The shading square shape alternates between behind the diagonal lines and in front of them.",./images/v1_36.png
B,['inductive'],B,"Rule 1: The diagonal dashes on the top and bottom of the square move in opposite directions toward each other, until eventually they overlap and continue. Rule 2: The two horizontal dashes move in opposite directions apart from each other, until they reach the edges of the square and loop back round to the other side.",./images/v1_37.png
The correct answer is: E,['inductive'],E,"Rule 1: The shape alternates between fully-shaded and half-shaded. Rule 2: The shading alternates from black, to grey, to white, then repeats.",./images/v1_38.png
The correct answer is: E,['inductive'],E,"Rule 1: The pentagon moves down one place each time, merging into the rectangle. Rule 2: The dot in the middle of the rectangle alternates between off and on each time.",./images/v1_39.png
The correct answer is: C,['inductive'],C,"Rule 1: The shading of the arrows switches from the left side to the right side each time. Rule 2: The black dots moves down one place each time, looping back to the top when then reach the end.",./images/v1_40.png
B,['deductive'],B,"Line 2 states the Small Silver Watch is the same time as the Gold Watch. Line 4 states that the Gold Watch is ten minutes slower than the Large Silver Watch. Line 1 states that the Large Silver Watch says the time is 15:50. Therefore, the Small Silver Watch should display 15:40, not 16:00. Thus, this statement is false.",./images/v1_41.png
A,['deductive'],A,"Line 1 states that the Large Silver Watch displays the time as 15:50. Line 4 states that the Gold Watch is ten minutes behind the Large Silver Watch, hence 15:40.",./images/v1_42.png
The correct answer is: C,['deductive'],C,"Line 3 states that the Bronze Watch is Small in size. Even though line 1 talks of a Large Silver Watch, and line 2 talks of a Small Silver Watch. The ambiguity of the statement, referring simply to a Silver Watch, means we cannot assess whether it is the Large of the Small one. Therefore, the answer is insufficient information.",./images/v1_43.png
B,['deductive'],B,"Line 5 states that the Bronze Watch is five minutes ahead of the Small Silver Watch. Line 2 states that the Small Silver Watch is the same time as the Gold Watch. Line 4 states that the Gold Watch is ten minutes behind the Large Silver Watch, which line 1 states is 15:50. Therefore, the Gold Watch is 15:40 but the Bronze is 15:45. Thus, the times are not the same and this statement is false.",./images/v1_44.png
The correct answer is: E,['deductive'],E,"We have three different genre types: Abstract, Classical and Modern. Each title in their genre is then alphabetised. Therefore, the Abstract titles, Morphism and Remix are alphabetised as such.Following this, the Classical titles are alphabetised Desecrate and Fugue. Therefore, we can note the order is as follows: Morphism, Remix, Desecrate, Fugue and Instant. Thus, the painting in the fourth position is Painting V.",./images/v1_45.png
C,['deductive'],C,"We can see that Kam Ramirez’s painting is Remix, priced at £6,000. Therefore, she makes that money when sold. She then purchases Instant, priced at £4,500. Therefore, £6,000 – £4,500 = £1,500, which is the money Kim has left from the sale of her painting after purchasing another.",./images/v1_46.png
B,['deductive'],B,"Line 1 states that Ailment C lasts twice as long as Ailment D, which Line 6 states is twice as long as Ailment B. Line 4 states that Ailment B lasts for 8 days. Therefore, Ailment C lasts for 8 * 2 * 2 = 32 days.Line 5 states that Medicine B will halve the duration of Ailment C. Thus, 32 / 2 = 16.Therefore, Medicine B will reduce the ailment duration by 16 days, not 12 and as such this statement is false.",./images/v1_47.png
B,['deductive'],B,"Line 4 states that Ailment B lasts for eight days. Line 6 states that Ailment D lasts for twice as long as Ailment B, thus sixteen days. Therefore, this statement is false.",./images/v1_48.png
A,['deductive'],A,"Line 4 states that Ailment B lasts for eight days. Line 6 states that Ailment D lasts for twice as long as Ailment B, thus sixteen days. Line 3 states that by taking Medicine C, the duration will be reduced by five days. Sixteen minus five is eleven. Therefore, this statement is true.",./images/v1_49.png
A,['deductive'],A,"Line 4 states that Ailment A lasts for eight days. Line 6 states that Ailment D lasts for twice as long as Ailment B, thus sixteen days. Line 3 states that by taking Medicine C, the duration will be reduced by five days. Therefore, it’ll be eleven days. Line 5 states that Medicine B will half the duration of Ailment A; 8 / 2 = 4. ",./images/v1_50.png
C,['deductive'],C,"Line 3 states that MDBs lend money at ‘very-long term loans’. Therefore, this statement is demonstrably false. ",./images/v1_51.png
C,['numerical'],C,"Step 1- Calculate the difference between the maximum and the minimum prices.Huver Co. = 1,360 – 860 = 500Drebs Ltd = 22 – 11 = 11Fevs Plc = 1,955 – 1,242 = 713Fauvers = 724 – 464 = 260Steapars = 2,630 – 2,216 = 414. Tip: Notice the wording of the question is asking for the share with the largest absolute change in price, NOT the largest percentage change, which would have been Drebs Ltd. If the question had wanted the percentage change it would have used the word percentage. Thus the correct answer is (C) Fevs Plc ",./images/v1_52.png
E,['numerical'],E,Step 1- Drebs Ltd’s share price is shown as 18 Euros at today’s prices. This is a 40% increase and so represents 1.40 (140%) of the price one month ago. Step 2- The price one month ago is calculated as follows: 18 ÷ 1.40 = 12.86. Thus the correct answer is (E) €12.86 ,./images/v1_53.png
B,['numerical'],B,"Step 1- The Xtam’s fuel consumption is shown as 34 miles to the gallon for motorway driving. So, 4,250 miles ÷ 34 = 125 gallons per month. Step 2- Annual petrol consumption = 125 x 12 = 1,500 gallons. Thus the correct answer is (B) 1,500 ",./images/v1_54.png
D,['numerical'],D,"Step 1- The cost of the Taber and Ursa cars are £12,500 and £15,250 respectively. Step 2- Since the numbers of each car purchased must be equal, calculate the combined cost as follows: £12,500 + £15,250 = £27,750. Step 3- £600,000 ÷ £27,750 = 21.6. Thus the correct answer is (D) 21 ",./images/v1_55.png
E,['numerical'],E,"Step 1- Calculate the increases in each IT spending category IT hardware = 45 (increase of £5 million from Year 4) IT software = 30 (increase of £5 million from Year 4) IT consulting = 20 (increase of £5 million from Year 4) Step 2- Calculate the total for the year after the projected year 5. Since there is an even increase the same increase of £5 million will occur in IT hardware, software and consulting.  Total = 45 + 30 + 20 + (3 x 5) = £110 million  Thus the correct answer is (E) £110 million ",./images/v1_56.png
D,['numerical'],D,"Step 1- Check in turn whether each statement is true or false: a) The projected spend on IT consulting is projected to increase by £5million. Option A is true. b) The projected spend on IT consulting is £20million, which matches year 2. Option B is true. c) The projected spend on IT software is £30million and for IT consulting it is £20million. Option C is true. d) There are increases projected for IT hardware, for IT software and for consulting, therfore ""spending on IT hardware will decline"" is not true. The option for D is false. e) We see that option D is false, so E cannot be the correct answer.  Thus the correct answer is (D) Spending on IT hardware, software and consulting is projected to decline.",./images/v1_57.png
B,['numerical'],B,"Step 1- Calculate the required gross profit increase. 36,521 x 1.5% = £547.82.  Given that costs are constant, this means the Net Turnover needs to increase  By £547.8 too. So the Net Turnover needs to be £547.8 + £238,521 = £239,068.8. Step 2- We have worked out the Net Turnover, but the question asks for Sales Turnover (i.e. before the sales tax of 14.0% is deducted). So Sales Turnover = 239,068.8 ÷ 86.0% = £277,986.98.   Thus the correct answer is (B) £277,987 ",./images/v1_58.png
E,['numerical'],E,"Step 1– Calculate the monthly cost of each full-time employee in January 166,000 / 80 = 2,075. Step 2– Calculate the difference in monthly labour costs 3,000 – 2,075 = 925. Step 3– Calculate the difference of replacing 20 full time employees with interims 925 x 20 = £18,500. Thus the correct answer is (E) Increase of £18,500 ",./images/v1_59.png
C,['numerical'],C,"Step 1- Contracts ratio of profit (£3.6million) to turnover = 2:15 Turnover = £3.6 million x 15/2 = £27 million = 270 (in £100,000s) Thus the correct answer is (C) 270 ",./images/v1_60.png
D,['numerical'],D,"Step 1- Calculate the total Reyes Heslop profits across all areas other than Leisure. (6.3 + 7.2 +5.0) + (3.8 + 5.8 + 4.4) + (3.6 + 5.9 + 4.5) + (6.2 +5.1 + 3.5) = 61.3million.  Step 2- This needs to be ¾ of all profits for the condition to be met. Therefore all profits, across all sectors, would be 61.3 ÷ 75% = 81.7333million. Step 3- Now we look at the difference between actual and target Leisure profits. Actual = (4.6 + 7.4  + 5.2) = 17.2 Target = (81.7333 – 61.3) = 20.4333 Shortfall = 3.2333 (millions) Thus the correct answer is (D) £3.2million ",./images/v1_61.png
B,['numerical'],B,Step 1- Calculate the total direct sales and telesales across the five teams. Direct sales total=75  Telesales total=86 Step 2 calculate the difference=86-75=11  thus the correct answer is B £11 million ,./images/v1_62.png
A,['numerical'],D,Step 1- Calculate the total sales  86 (for telesales) + 75 (for direct sales) = £161 million     Step 2- Calculate the total sales across all regions £161 million = 26% 100% = 161 x 100/26 = £619.23 million  Thus the correct answer is (D) £619 million ,./images/v1_63.png
D,['numerical'],D,"Step 1- For company B, profit per employee is originally (£26,000 ÷ 8) = £3,250/employee. So £39,000 ÷ £3,250 = 12 employees, which is 4 more than they currently have. Tip- Whilst each question can be done in isolation, it will help here if you can quickly locate the workings from the previous question. Thus, the correct answer is (D) 4 ",./images/v1_64.png
The correct answer is: D,['numerical'],D,"Step 1- Calculate the value of kWh for 1990 and 2000 for each of the rooms. Room 1990 per kWh 2000 per kWh Meeting Rooms 2.04 2.10 Office Space 6.97 5.85 Print Room 2.55 1.80 PC Room 3.40 3.15 Kitchen 2.04 2.10 Step 2- Subtract the kWh for 2000 from that of 1990 for each of the rooms. Room change (1990 - 2000) kWh   Meeting Rooms -0.06  Office Space 1.12 Print Room 0.75 PC Room 0.25 Kitchen -0.06 Step 3- Look for the smallest positive value. Negative values represent an increase between 1990 and 2000. Tip- You only need to perform 4 calculations, as two of the rooms have the same values. Thus, the correct answer is (D) PC Room.",./images/v1_65.png
D,['numerical'],D,"Step 1- Make sure you add together the male and female figures to arrive at a figure for people. Total number unemployed = 52,000 + 43,000 = 95,000.  Step 2- Total number people sampled = 1,343,000 + 1,031,000 = 2,374,000. Step 3 - So now 95,000 ÷ 2,374,000 = 4%.  Thus, the correct answer is (D) 4% ",./images/v1_66.png
B,['numerical'],B,"Step 1- We need to first find the total costs of all accidents for all towns: (£1,900 x 6) + (£3,200 x 18) + (£1,050 x 20) = £90,000. Step 2- Now divide this by the total number of vehicles on the road for all three towns (76,000 + 101,000 + 104,000) = 281,000.  Step 3- So £90,000 ÷ 281,000 = £0.320.  Thus, the correct answer is (B) £0.32",./images/v1_67.png
A,['numerical'],A,"Tip- If you read this quickly, it might be daunting. It needn’t be if you take each step at a time. Step 1- We are told that the total output from all fuels in 1996 is 200TWh, so we can work out what is was for coal in 1996. Coal in 1996 was 35% of 200TWh: 70TWh. So Nuclear in 2006 is twice this: 140TWh. Thus, the correct answer is (A) 140TWh",./images/v1_68.png
B,['inductive'],B,Set A:    Each box contains exactly one shaded star and two stars behind the lines. Set B:    Each box contains exactly one shaded star and one star behind the lines. Figure:   The Figure contains one shaded star and one star behind the lines.,./images/v1_81.png
A,['inductive'],A,Set A: Each box has exactly one matching pair of shapes. Both of these shapes are shaded.     Set B:    Each box has exactly one matching pair of shapes. Both of these shapes are unshaded. The other shapes are shaded. Figure: The Figure contains one matching pair of shapes: the triangles. Both of these triangles are shaded.,./images/v1_82.png
B,['inductive'],B,Set A:    Each box contains five lines and two circles.   Set B:    Each box contains four lines and two circles. Figure:   The Figure contains four lines and two circles.,./images/v1_83.png
B,['inductive'],B,Set A:    Each box contains exactly four crossed circles.     Set B:    Each box contains exactly three shaded circles.   Figure:   The Figure contains three shaded circles.,./images/v1_84.png
C,['inductive'],C,Set A:    Each box contains symbols with curved edges.     Set B:    Each box contains symbols with only straight edges. Figure:   The Figure contains symbols with both curved and straight edges.,./images/v1_85.png
B,['inductive'],B,Set A:    The total number of crossed boxes is equal to the total number of stars. The total number of shaded boxes is equal to the total number of circles.    Set B:    The total number of crossed boxes is equal to the total number of circles. The total number of shaded boxes is equal to the total number of starts. Figure:   There are four shaded boxes and four stars. There are three crossed boxes and three circles.,./images/v1_86.png
A,['inductive'],A,Set A:    Each shape is made up of three segments. Set B:    Each shape is made up of four segments. Figure:   The shape in the Figure consists of three segments.,./images/v1_87.png
A,['inductive'],A,"Set A:    For each unshaded shape, there is an identical, shaded shape. Set B:    For each shaded shape, there are two identical unshaded shapes. Figure: For each unshaded shapes, there is an identical shaded shape.",./images/v1_88.png
B,['inductive'],B,Set A:    Each house has exactly three windows.     Set B:    Each house has exactly four windows.     Figure:   The house in the Figure has four windows.,./images/v1_89.png
C,['inductive'],C,"Set A:    Each box contains one striped square, one shaded square and two unshaded squares. Set B:    Each box contains two striped squares, one shaded square and one unshaded square. Figure:   The Figure contains two shaded squares and two striped squares.",./images/v1_90.png
B,['inductive'],B,Set A:    Each box contains three different shapes. Set B:Each box contains two different shapes. Figure:   The Figure contains two circles and one square - two different shapes.,./images/v1_91.png
A,['inductive'],A,Set A:    Each box contains an even number of stars.  Set B:    Each box contains an odd number of stars.  Figure:   The Figure contains an even number of stars.,./images/v1_92.png
A,['inductive'],C,Set A:    Only the squares are shaded.  Set B:    Only the circles are shaded.  Figure:   The Figure contains a shaded square and a shaded circle,./images/v1_93.png
A,['inductive'],A,Set A:    The bottom rectangle is created by superimposing the top two rectangles. Set B:    The bottom rectangle is identical to the top triangle. Figure:   The bottom rectangle is create by superimposing the top two rectangles.,./images/v1_94.png
A,['inductive'],A,"Set A:    From left to right, the shapes alternate between shaded and unshaded.    Set B:    From left to right, the second and last shape in each box is shaded. Figure:   From left to right, the shapes alternates between shaded and unshaded.",./images/v1_95.png
B,['inductive'],B,Set A:    Each flower has four shaded petals.  Set B:    Each flower has five shaded petals. Figure:   The Figure has five shaded petals.,./images/v1_96.png
A,['inductive'],A,"Set A:    For every shape inside the large dotted circle, there is an identical shape outside of it.   Set B:    All of the shapes in each box, whether inside or outside of the dotted circle, are unique.  Figure: For each shape inside the dotted circle, there is an identical shape outside of it.",./images/v1_97.png
A,['inductive'],C,"Set A:    Wherever there is a crossed square, there is a corresponding circle located on the edge of the box. When the centre square is shaded, the circles are unshaded. Set B:    Wherever there is a crossed square, there is a corresponding circle located on the edge of the box. When the centre square is shaded, the circles are shaded and vice versa. Figure:   There is a missing circle, so the Figure does not match either set.",./images/v1_98.png
A,['inductive'],A,"Set A:    In each box, the total number of lines in the shape is equal to the total number of edges on that shape. Set B:    In each box, the total number of lines is one less than the total number of edges on that shape.  Figure:   The shape has four edges and there are four lines.",./images/v1_99.png
A,['inductive'],A,Set A:    Each box contains five shaded circles.     Set B:    Each box contains five unshaded circles.     Figure:   The Figure contains five shaded circles.,./images/v1_100.png
B,['inductive'],B,Set A:    Each box contains two shapes: one with two dotted edges and one with one dotted edge.     Set B:    Each box contains two shapes: both with one dotted edge. Figure:   Each shape in the box has a single dotted edge.,./images/v1_101.png
B,['inductive'],B,Set A:    The shaded star is located at the opposite corner from the missing segment of the circle.  Set B:    The shaded star is located at the same corner as the missing segment of the circle. Figure:   The shaded star and missing segment of the circle are at the same corner.,./images/v1_102.png
A,['inductive'],A,"Set A:    Each box contains exactly two unshaded, empty circles.    Set B:    Each box contains exactly one unshaded, empty circle.     Figure:   The Figure contains exactly two unshaded, empty circles.",./images/v1_103.png
A,['inductive'],C,Set A:    Each box contains four shaded shapes.     Set B:    Each box contains three shaded shapes. Figure:   The Figure contains five shaded shapes.,./images/v1_104.png
A,['inductive'],A,"Set A:    In each box, the horizontal bar is longer than the vertical bar.     Set B:    In each box, the vertical bar is longer than the horizontal bar.  Figure:   The horizontal bar is longer than the vertical bar.",./images/v1_105.png
A,['inductive'],A,Set A:    Each box contains 5 cubes. Set B:    Each box contains four cubes. Figure:   The Figure contains five cubes.,./images/v1_106.png
A,['inductive'],A,Set A:    The lines in each box never intersect. Set B:    The lines in each box intersect. Figure:   The lines do not intersect with each other.,./images/v1_107.png
A,['inductive'],A,Set A:    Each box contains exactly three half shaded squares. Set B:    Each box contains exactly two half shaded squares. Figure:   The Figure contains three half shaded squares.,./images/v1_108.png
A,['inductive'],C,"Set A:    In Set A, only the stars are shaded. Set B:    In Set B, only the diamonds are shaded. Figure:   Both the stars and the the diamond are shaded.",./images/v1_109.png
A,['inductive'],C,"Set A:    The total number of edges on the centre shape is equal to the number of shaded circles. Set B:    The total number of edges on the centre shape is equal to the number of unshaded circles. Figure:   The centre shape has four edges, there are five shaded shapes and three unshaded shapes.",./images/v1_110.png
The correct answer is: B,['inductive'],B,B,./images/v1_111.png
The correct answer is: C,['inductive'],C,C,./images/v1_112.png
The correct answer is: C,['inductive'],C,C,./images/v1_113.png
B,['inductive'],B,B,./images/v1_114.png
The correct answer is: D,['inductive'],D,D,./images/v1_115.png
The correct answer is: C,['inductive'],C,C,./images/v1_116.png
The correct answer is: D,['inductive'],D,D,./images/v1_117.png
The correct answer is: A,['inductive'],A,A,./images/v1_118.png
The correct answer is: B,['inductive'],B,B,./images/v1_119.png
The correct answer is: C,['inductive'],C,C,./images/v1_120.png
The correct answer is: A,['inductive'],A,A,./images/v1_121.png
The correct answer is: D,['inductive'],D,D,./images/v1_122.png
A,['inductive'],A,A,./images/v1_123.png
The correct answer is: C,['inductive'],C,C,./images/v1_124.png
The correct answer is: B,['inductive'],B,B,./images/v1_125.png
B,['inductive'],B,B,./images/v1_126.png
The correct answer is: B,['inductive'],B,B,./images/v1_127.png
The correct answer is: A,['inductive'],A,A,./images/v1_128.png
B,['inductive'],B,B,./images/v1_129.png
The correct answer is: D,['inductive'],D,D,./images/v1_130.png
B,['deductive'],B,The correct answer is B.,./images/v1_177.png
D,['deductive'],D,The correct answer is D.,./images/v1_178.png
B,['deductive'],B,The correct answer is B.,./images/v1_179.png
The correct answer is: C,['deductive'],C,The correct answer is C.,./images/v1_180.png
The correct answer is: C,['deductive'],C,The correct answer is C.,./images/v1_181.png
A,['numerical'],A," The correct answer is A. Step 1:  Identify from the table how many Wireless Headphones were produced in 2019. step 2:  Divide the number produced by 50 (the Headphones are sold in batches of 50). Step 3:  Multiply this number (i.e. the number of batches of 50) by the cost per batch of 50. note: You need to perform a separate calculation for each 'Grade' of Headphone becasue each batch of 50 costs a different amount: Grade A 2019 = 25,000 ÷ 50 × $500 = $250,000  Grade C 2019 = 80,000 ÷ 50 × $150 = $240,000  total = $490,000 Tip:  At the start of this queston you need to identify where the 2019 data is shown.  In most questions time will be shown on the X axis (the bottom axis).",./images/v1_202.png
The correct answer is: C,['numerical'],C," The correct answer is C. Step 1:  Calculate the 26% increase from 2022 to 2023: 20,000 headphones × 1.26 = 25,200 headphones  Step 2:  Using the selling price data at the bottom of the table calculate the value of the headphones produced: 25,200 ÷ 50 × $300 = ​$151,200",./images/v1_203.png
B,['numerical'],B," The correct answer is B. Step 1:  Make sure you get the ration the correct way round.  Start by writing this down in a ratio format: Grade A : Grade C Step 2:  Calculate the value of the two classes of headphones: Grade A:    20,000 ÷ 50 × $500    =    $200,000 Grade C:    75,000 ÷ 50 × $150    =    $225,000 Step 3:  Write these values underneath the ratio you wrote down in step 1. Grade A : Grade C $200,000 : $225,000  Step 4:  Divide the first number by the second to calculate the ratio: $200,000 ÷ $225,000 = 0.8888  0.89:1 ",./images/v1_204.png
The correct answer is: C,['numerical'],C," The correct answer is C. Step 1:  Calculate value of grade C headphones produced in 2020:  Grade C 2020 = 70,000 ÷ 50 × $150 = $210,000  Step 2:  Calculate value of grade B headphones produced in 2022: Grade B 2022 = 20,000 ÷ 50 x $300 = $120,000  Step 3:  Add the two values together:  210,000 + 120,000 = 330,000   Tip:  This is a relatively simple quesiton but be careful to use the correct data from the graph.  ",./images/v1_205.png
The correct answer is: C,['numerical'],C, The correct answer is C. First we work out the average precipitation for each location:     Tirana (135+150+130+115+120)/5 = 130     Algiers (80+75+55+60+40)/5 = 62 Then we subtract the smallest from the largest to find the difference:  130 - 62 = 68,./images/v1_206.png
The correct answer is: B,['numerical'],B, The correct answer is B. We use the percentage change formula. (120-115)/115 = 0.0435 = 4.35% ,./images/v1_207.png
B,['numerical'],B," The correct answer is B. We need to calculate how much is 15% out of 25. (25x15)/100= 3.75 So the actual figure is 25 - 15% = 25 - 3.75 = 21.25 Hence using the percentage change (increase) formula, there is a (30-21.25)/21.25 = 0.41 = 41% ",./images/v1_208.png
The correct answer is: C,['numerical'],C, The correct answer is C. We set it up as follows. Algiers : Stockholm 60:30 Divide by the highest common factor. Try dividing by 10 first if you can't see what the highest one is. For example 6 : 3 You can then see that you can divide further by 3 so the answer is 2 : 1 ,./images/v1_209.png
B,['numerical'],B," The correct answer is B. Step 1:  Identify that Antlyn is represented by 12% and 18% for the two years. step 2:  Identify, from the title, the value of the textile industry in each year. Step 3:  Multiply Antlyn's share of the textile industry in each year by the total value of the market in that year: 2021    =    12% × $1.45m =    $174,000  2022    =    18% × $2m =    $360,000 Step 4:  Add the two year's together: =    $534,000  ",./images/v1_210.png
A,['numerical'],A," The correct answer is A. Step 1:  Calculate the value of Graff Inc's share of the textile industry in each year: 2021 =  30% × $1.45m    = $435k   2022 =  24% × $2m         = $480k  Step 2:  Subtract the 2022 value from the 2021 value: $480k - $435k    = $45k   Tip:  When asked to calculate the increase from one year to the next, subtract the most recent figure from the oldest.  ",./images/v1_211.png
